Rank,Hole,Wins %,Ties %,Total %,Adjusted %
1,AA,84.97,0.57,85.54,85.255
2,KK,82.1,0.58,82.68,82.39
3,QQ,79.63,0.61,80.24,79.935
4,JJ,77.16,0.65,77.81,77.485
5,TT,74.66,0.72,75.38,75.02
6,99,71.69,0.8,72.49,72.09
7,88,68.72,0.91,69.63,69.175
8,77,65.72,1.04,66.76,66.24
9,KAs,65.28,2.66,67.94,66.61
10,QAs,64.41,2.78,67.19,65.8
11,JAs,63.55,2.95,66.5,65.025
12,KA,63.49,2.75,66.24,64.865
13,TAs,62.66,3.18,65.84,64.25
14,66,62.58,1.18,63.76,63.17
15,QA,62.57,2.87,65.44,64.005
16,JA,61.63,3.06,64.69,63.16
17,QKs,61.58,2.97,64.55,63.065
18,TA,60.7,3.29,63.99,62.345
19,JKs,60.69,3.14,63.83,62.26
20,9As,60.68,3.49,64.17,62.425
21,TKs,59.82,3.34,63.16,61.49
22,8As,59.72,3.79,63.51,61.615
23,55,59.65,1.38,61.03,60.34
24,QK,59.58,3.07,62.65,61.115
25,JK,58.64,3.25,61.89,60.265
26,7As,58.61,4.11,62.72,60.665
27,9A,58.6,3.61,62.21,60.405
28,JQs,58.43,3.31,61.74,60.085
29,9Ks,57.89,3.64,61.53,59.71
30,TK,57.72,3.47,61.19,59.455
31,TQs,57.56,3.51,61.07,59.315
32,8A,57.54,3.96,61.5,59.52
33,5As,57.31,4.61,61.92,59.615
34,6As,57.26,4.36,61.62,59.44
35,4As,56.38,4.69,61.07,58.725
36,7A,56.36,4.3,60.66,58.51
37,44,56.26,1.55,57.81,57.035
38,JQ,56.25,3.43,59.68,57.965
39,8Ks,56.08,3.96,60.04,58.06
40,TJs,55.67,3.64,59.31,57.49
41,9K,55.64,3.78,59.42,57.53
42,9Qs,55.62,3.79,59.41,57.515
43,3As,55.6,4.67,60.27,57.935
44,TQ,55.31,3.65,58.96,57.135
45,7Ks,55.13,4.3,59.43,57.28
46,5A,54.94,4.84,59.78,57.36
47,6A,54.91,4.58,59.49,57.2
48,2As,54.84,4.63,59.47,57.155
49,6Ks,53.98,4.58,58.56,56.27
50,4A,53.95,4.92,58.87,56.41
51,8Qs,53.85,4.1,57.95,55.9
52,8K,53.68,4.14,57.82,55.75
53,9Js,53.65,3.99,57.64,55.645
54,TJ,53.34,3.78,57.12,55.23
55,9Q,53.25,3.95,57.2,55.225
56,5Ks,53.15,4.82,57.97,55.56
57,3A,53.08,4.91,57.99,55.535
58,33,52.84,1.73,54.57,53.705
59,7K,52.68,4.49,57.17,54.925
60,2A,52.24,4.9,57.14,54.69
61,4Ks,52.2,4.89,57.09,54.645
62,9Ts,52.05,4.15,56.2,54.125
63,7Qs,51.96,4.45,56.41,54.185
64,8Js,51.87,4.28,56.15,54.01
65,6K,51.44,4.8,56.24,53.84
66,3Ks,51.39,4.88,56.27,53.83
67,8Q,51.34,4.28,55.62,53.48
68,9J,51.16,4.14,55.3,53.23
69,6Qs,51.02,4.76,55.78,53.4
70,2Ks,50.58,4.85,55.43,53.005
71,5K,50.54,5.06,55.6,53.07
72,8Ts,50.21,4.49,54.7,52.455
73,5Qs,50.18,5,55.18,52.68
74,7Js,50.01,4.61,54.62,52.315
75,4K,49.51,5.15,54.66,52.085
76,9T,49.47,4.32,53.79,51.63
77,22,49.41,1.91,51.32,50.365
78,7Q,49.32,4.66,53.98,51.65
79,8J,49.25,4.46,53.71,51.48
80,4Qs,49.23,5.07,54.3,51.765
81,89s,48.63,4.71,53.34,50.985
82,3K,48.61,5.13,53.74,51.175
83,3Qs,48.41,5.05,53.46,50.935
84,7Ts,48.35,4.82,53.17,50.76
85,6Q,48.29,4.98,53.27,50.78
86,6Js,48.03,4.94,52.97,50.5
87,2K,47.73,5.11,52.84,50.285
88,2Qs,47.56,5.02,52.58,50.07
89,8T,47.49,4.68,52.17,49.83
90,5Js,47.41,5.2,52.61,50.01
91,5Q,47.39,5.25,52.64,50.015
92,7J,47.28,4.82,52.1,49.69
93,79s,46.78,5.07,51.85,49.315
94,4Js,46.45,5.27,51.72,49.085
95,6Ts,46.39,5.12,51.51,48.95
96,4Q,46.36,5.33,51.69,49.025
97,89,45.85,4.91,50.76,48.305
98,3Js,45.62,5.25,50.87,48.245
99,78s,45.57,5.29,50.86,48.215
100,7T,45.51,5.03,50.54,48.025
101,3Q,45.46,5.32,50.78,48.12
102,6J,45.16,5.17,50.33,47.745
103,69s,44.85,5.36,50.21,47.53
104,2Js,44.79,5.23,50.02,47.405
105,5Ts,44.65,5.4,50.05,47.35
106,2Q,44.56,5.3,49.86,47.21
107,5J,44.47,5.46,49.93,47.2
108,4Ts,43.91,5.49,49.4,46.655
109,79,43.87,5.3,49.17,46.52
110,68s,43.58,5.64,49.22,46.4
111,4J,43.43,5.55,48.98,46.205
112,6T,43.42,5.37,48.79,46.105
113,59s,43.14,5.63,48.77,45.955
114,3Ts,43.08,5.46,48.54,45.81
115,67s,42.6,5.85,48.45,45.525
116,78,42.58,5.54,48.12,45.35
117,3J,42.54,5.52,48.06,45.3
118,2Ts,42.24,5.44,47.68,44.96
119,58s,41.87,5.9,47.77,44.82
120,69,41.78,5.62,47.4,44.59
121,2J,41.65,5.5,47.15,44.4
122,5T,41.54,5.67,47.21,44.375
123,49s,41.22,5.73,46.95,44.085
124,57s,40.93,6.15,47.08,44.005
125,4T,40.75,5.78,46.53,43.64
126,39s,40.61,5.73,46.34,43.475
127,68,40.44,5.91,46.35,43.395
128,56s,40.16,6.32,46.48,43.32
129,48s,39.98,6,45.98,42.98
130,59,39.94,5.91,45.85,42.895
131,3T,39.84,5.76,45.6,42.72
132,29s,39.78,5.7,45.48,42.63
133,67,39.39,6.13,45.52,42.455
134,47s,39.06,6.25,45.31,42.185
135,2T,38.94,5.74,44.68,41.81
136,58,38.63,6.19,44.82,41.725
137,45s,38.54,6.59,45.13,41.835
138,46s,38.3,6.46,44.76,41.53
139,38s,38.16,5.97,44.13,41.145
140,49,37.89,6.03,43.92,40.905
141,57,37.63,6.47,44.1,40.865
142,28s,37.58,5.97,43.55,40.565
143,37s,37.25,6.24,43.49,40.37
144,39,37.23,6.04,43.27,40.25
145,56,36.83,6.65,43.48,40.155
146,35s,36.76,6.61,43.37,40.065
147,48,36.6,6.3,42.9,39.75
148,36s,36.51,6.45,42.96,39.735
149,29,36.34,6.02,42.36,39.35
150,34s,35.74,6.58,42.32,39.03
151,47,35.61,6.59,42.2,38.905
152,27s,35.4,6.21,41.61,38.505
153,45,35.08,6.94,42.02,38.55
154,25s,34.93,6.61,41.54,38.235
155,46,34.82,6.81,41.63,38.225
156,26s,34.68,6.43,41.11,37.895
157,38,34.64,6.3,40.94,37.79
158,28,33.99,6.31,40.3,37.145
159,24s,33.95,6.57,40.52,37.235
160,37,33.67,6.58,40.25,36.96
161,35,33.16,6.98,40.14,36.65
162,23s,33.12,6.54,39.66,36.39
163,36,32.9,6.81,39.71,36.305
164,34,32.08,6.95,39.03,35.555
165,27,31.68,6.56,38.24,34.96
166,25,31.21,6.97,38.18,34.695
167,26,30.91,6.8,37.71,34.31
168,24,30.14,6.95,37.09,33.615
169,23,29.29,6.91,36.2,32.745
